"Syrup Bomb",GRASS,SPECIAL,60,85%,10-16,"If this move is successful, it causes the target's Speed to be lowered by 1 stage at the end of each turn for 3 turns."
"Tachyon Cutter",STEEL,SPECIAL,50,—,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit. This move does not check accuracy."
"Tackle",NORMAL,PHYSICAL,40,100%,35-56,"No additional effect."
"Tail Glow",BUG,STATUS,n/a,—,20-32,"Raises the user's Special Attack by 3 stages."
"Tail Slap",NORMAL,PHYSICAL,25,85%,10-16,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Tail Whip",NORMAL,STATUS,n/a,100%,30-48,"Lowers the target's Defense by 1 stage."
"Tailwind",FLYING,STATUS,n/a,—,15-24,"For 4 turns, the user and its party members have their Speed doubled. Fails if this move is already in effect for the user's side."
"Take Down",NORMAL,PHYSICAL,90,85%,20-32,"If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"Take Heart",PSYCHIC,STATUS,n/a,—,15-24,"The user cures its non-volatile status condition. Raises the user's Special Attack and Special Defense by 1 stage."
"Tar Shot",ROCK,STATUS,n/a,100%,15-24,"Lowers the target's Speed by 1 stage. Until the target switches out, the effectiveness of Fire-type moves is doubled against it."
"Taunt",DARK,STATUS,n/a,100%,20-32,"Prevents the target from using non-damaging moves for its next three turns. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune."
"Tearful Look",NORMAL,STATUS,n/a,—,20-32,"Lowers the target's Attack and Special Attack by 1 stage."
"Teatime",NORMAL,STATUS,n/a,—,10-16,"All active Pokemon consume their held Berries. This effect is not prevented by substitutes, the Klutz or Unnerve Abilities, or the effects of Embargo or Magic Room. Fails if no active Pokemon is holding a Berry."
"Techno Blast",NORMAL,SPECIAL,120,100%,5-8,"This move's type depends on the user's held Drive."
"Tectonic Rage",GROUND,PHYSICAL,1,—,1,"[Z-Move] requiring Groundium Z"
"Teeter Dance",NORMAL,STATUS,n/a,100%,20-32,"Causes the target to become confused."
"Telekinesis",PSYCHIC,STATUS,n/a,—,15-24,"For 3 turns, the target cannot avoid any attacks made against it, other than OHKO moves, as long as it remains active. During the effect, the target is immune to Ground-type attacks and the effects of Spikes, Toxic Spikes, Sticky Web, and the Arena Trap Ability as long as it remains active. If the target uses Baton Pass, the replacement will gain the effect. Ingrain, Smack Down, Thousand Arrows, and Iron Ball override this move if the target is under any of their effects. Fails if the target is already under this effect or the effects of Ingrain, Smack Down, or Thousand Arrows. The target is immune to this move on use if its species is Diglett, Dugtrio, Alolan Diglett, Alolan Dugtrio, Sandygast, Palossand, or Gengar while Mega-Evolved. Mega Gengar cannot be under this effect by any means."
"Teleport",PSYCHIC,STATUS,n/a,—,20-32,"Nearly always moves last (priority −6)."
"Temper Flare",FIRE,PHYSICAL,75,100%,10-16,"Power doubles if the user's last move on the previous turn, including moves called by other moves or those used through Instruct, Magic Coat, Snatch, or the Dancer or Magic Bounce Abilities, failed to do any of its normal effects, not including damage from an unsuccessful High Jump Kick, Jump Kick, or Mind Blown, or if the user was prevented from moving by any effect other than recharging or Sky Drop. A move that was blocked by Baneful Bunker, Detect, King's Shield, Protect, Spiky Shield, Crafty Shield, Mat Block, Quick Guard, or Wide Guard will not double this move's power, nor will Bounce or Fly ending early due to the effect of Gravity, Smack Down, or Thousand Arrows."
"Tera Blast",NORMAL,SPECIAL,80,100%,10-16,"If the user is Terastallized, this move becomes a physical attack if the user's Attack is greater than its Special Attack, including stat stage changes, and this move's type becomes the same as the user's Tera Type. In addition, if the user's Tera Type is Stellar, this move has 100 power, is super effective against Terastallized targets and neutral against other targets, and lowers the user's Attack and Special Attack by 1 stage."
"Tera Starstorm",NORMAL,SPECIAL,120,100%,5-8,"If the user is a Terapagos in Stellar Form, this move's type becomes Stellar and hits all opposing Pokemon."
"Terrain Pulse",NORMAL,SPECIAL,50,100%,10-16,"Power doubles if the user is grounded and a terrain is active, and this move's type changes to match. Electric type during Electric Terrain, Grass type during Grassy Terrain, Fairy type during Misty Terrain, and Psychic type during Psychic Terrain."
"Thief",DARK,PHYSICAL,60,100%,25-40,"If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Z-Crystal, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Thousand Arrows",GROUND,PHYSICAL,90,100%,10-16,"This move can hit airborne Pokemon, which includes Flying-type Pokemon, Pokemon with the Levitate Ability, Pokemon holding an Air Balloon, and Pokemon under the effect of Magnet Rise or Telekinesis. If the target is a Flying type and is not already grounded, this move deals neutral damage regardless of its other type(s). This move can hit a target using Bounce, Fly, or Sky Drop. If this move hits a target under the effect of Bounce, Fly, Magnet Rise, or Telekinesis, the effect ends. If the target is a Flying type that has not used Roost this turn or a Pokemon with the Levitate Ability, it loses its immunity to Ground-type attacks and the Arena Trap Ability as long as it remains active. During the effect, Magnet Rise fails for the target and Telekinesis fails against the target."
"Thousand Waves",GROUND,PHYSICAL,90,100%,10-16,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Thrash",NORMAL,PHYSICAL,120,100%,10-16,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"Throat Chop",DARK,PHYSICAL,80,100%,15-24,"For 2 turns, the target cannot use sound-based moves."
"Thunder",ELECTRIC,SPECIAL,110,70%,10-16,"Has a 30% chance to paralyze the target. This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If the weather is Desolate Land or Sunny Day, this move's accuracy is 50%. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 70%."
"Thunderbolt",ELECTRIC,SPECIAL,90,100%,15-24,"Has a 10% chance to paralyze the target."
"Thunder Cage",ELECTRIC,SPECIAL,80,90%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Thunderclap",ELECTRIC,SPECIAL,70,100%,5-8,"Usually moves first (priority +1)."
"Thunder Fang",ELECTRIC,PHYSICAL,65,95%,15-24,"Has a 10% chance to paralyze the target and a 10% chance to make it flinch."
"Thunderous Kick",FIGHTING,PHYSICAL,90,100%,10-16,"Has a 100% chance to lower the target's Defense by 1 stage."
"Thunder Punch",ELECTRIC,PHYSICAL,75,100%,15-24,"Has a 10% chance to paralyze the target."
"Thunder Shock",ELECTRIC,SPECIAL,40,100%,30-48,"Has a 10% chance to paralyze the target."
"Thunder Wave",ELECTRIC,STATUS,n/a,90%,20-32,"Paralyzes the target. This move does not ignore type immunity."
"Tickle",NORMAL,STATUS,n/a,100%,20-32,"Lowers the target's Attack and Defense by 1 stage."
"Tidy Up",NORMAL,STATUS,n/a,—,10-16,"Raises the user's Attack and Speed by 1 stage. Removes subtitutes from all active Pokemon and ends the effects of Spikes, Stealth Rock, Sticky Web, and Toxic Spikes for both sides."
"Topsy-Turvy",DARK,STATUS,n/a,—,20-32,"The target's positive stat stages become negative and vice versa. Fails if all of the target's stat stages are 0."
"Torch Song",FIRE,SPECIAL,80,100%,10-16,"Has a 100% chance to raise the user's Special Attack by 1 stage."
"Torment",DARK,STATUS,n/a,100%,15-24,"Prevents the target from selecting the same move for use two turns in a row. This effect ends when the target is no longer active."
"Toxic",POISON,STATUS,n/a,90%,10-16,"Badly poisons the target. If a Poison-type Pokemon uses this move, the target cannot avoid the attack, even if the target is in the middle of a two-turn move."
"Toxic Spikes",POISON,STATUS,n/a,—,20-32,"Sets up a hazard on the opposing side of the field, poisoning each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Can be used up to two times before failing. Opposing Pokemon become poisoned with one layer and badly poisoned with two layers. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, is hit by Defog, or a grounded Poison-type Pokemon switches in. Safeguard prevents the opposing party from being poisoned on switch-in, but a substitute does not."
"Toxic Thread",POISON,STATUS,n/a,100%,20-32,"Lowers the target's Speed by 1 stage and poisons it."
"Trailblaze",GRASS,PHYSICAL,50,100%,20-32,"Has a 100% chance to raise the user's Speed by 1 stage."
"Transform",NORMAL,STATUS,n/a,—,10-16,"The user transforms into the target. The target's current stats, stat stages, types, moves, Ability, weight, gender, and sprite are copied. The user's level and HP remain the same and each copied move receives only 5 PP, with a maximum of 5 PP each. The user can no longer change formes if it would have the ability to do so. This move fails if it hits a substitute, if either the user or the target is already transformed, or if either is behind an Illusion."
"Tri Attack",NORMAL,SPECIAL,80,100%,10-16,"Has a 20% chance to either burn, freeze, or paralyze the target."
"Trick",PSYCHIC,STATUS,n/a,100%,10-16,"The user swaps its held item with the target's held item. Fails if either the user or the target is holding a Mail or Z-Crystal, if neither is holding an item, if the user is trying to give or take a Mega Stone to or from the species that can Mega Evolve with it, or if the user is trying to give or take a Blue Orb, a Red Orb, a Griseous Orb, a Plate, a Drive, or a Memory to or from a Kyogre, a Groudon, a Giratina, an Arceus, a Genesect, or a Silvally, respectively. The target is immune to this move if it has the Sticky Hold Ability."
"Trick-or-Treat",GHOST,STATUS,n/a,100%,20-32,"Causes the Ghost type to be added to the target, effectively making it have two or three types. Fails if the target is already a Ghost type. If Forest's Curse adds a type to the target, it replaces the type added by this move and vice versa."
"Trick Room",PSYCHIC,STATUS,n/a,—,5-8,"Nearly always moves last (priority −7)."
"Triple Arrows",FIGHTING,PHYSICAL,90,100%,10-16,"Has a 50% chance to lower the target's Defense by 1 stage, a 30% chance to make it flinch, and a higher chance for a critical hit."
"Triple Axel",ICE,PHYSICAL,20,90%,10-16,"Hits three times. Power increases to 40 for the second hit and 60 for the third. This move checks accuracy for each hit, and the attack ends if the target avoids a hit. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit three times."
"Triple Dive",WATER,PHYSICAL,30,95%,10-16,"Hits three times."
"Triple Kick",FIGHTING,PHYSICAL,10,90%,10-16,"Hits three times. Power increases to 20 for the second hit and 30 for the third. This move checks accuracy for each hit, and the attack ends if the target avoids a hit. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit three times."
"Trop Kick",GRASS,PHYSICAL,70,100%,15-24,"Has a 100% chance to lower the target's Attack by 1 stage."
"Trump Card",NORMAL,SPECIAL,—,—,5-8,"The power of this move is based on the amount of PP remaining after normal PP reduction and the Pressure Ability resolve. 200 power for 0 PP, 80 power for 1 PP, 60 power for 2 PP, 50 power for 3 PP, and 40 power for 4 or more PP."
"Twin Beam",PSYCHIC,SPECIAL,40,100%,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Twineedle",BUG,PHYSICAL,25,100%,20-32,"Hits twice, with each hit having a 20% chance to poison the target. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Twinkle Tackle",FAIRY,PHYSICAL,1,—,1,"[Z-Move] requiring Fairium Z"
"Twister",DRAGON,SPECIAL,40,100%,20-32,"Has a 20% chance to make the target flinch. Power doubles if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
"U-turn",BUG,PHYSICAL,70,100%,20-32,"If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members, or if the target switched out using an Eject Button or through the effect of the Emergency Exit or Wimp Out Abilities."
"Upper Hand",FIGHTING,PHYSICAL,65,100%,15-24,"Nearly always moves first (priority +3)."
"Uproar",NORMAL,SPECIAL,90,100%,10-16,"The user spends three turns locked into this move. This move targets an opponent at random on each turn. On the first of the three turns, all sleeping active Pokemon wake up. During the three turns, no active Pokemon can fall asleep by any means, and Pokemon switched in during the effect do not wake up. If the user is prevented from moving or the attack is not successful against the target during one of the turns, the effect ends."
"Vacuum Wave",FIGHTING,SPECIAL,40,100%,30-48,"Usually moves first (priority +1)."
"V-create",FIRE,PHYSICAL,180,95%,5-8,"Lowers the user's Speed, Defense, and Special Defense by 1 stage."
"Veevee Volley",NORMAL,PHYSICAL,—,—,20-32,"Power is equal to the greater of (user's Happiness * 2/5), rounded down, or 1."
"Venom Drench",POISON,STATUS,n/a,100%,20-32,"Lowers the target's Attack, Special Attack, and Speed by 1 stage if the target is poisoned. Fails if the target is not poisoned."
"Venoshock",POISON,SPECIAL,65,100%,10-16,"Power doubles if the target is poisoned."
"Victory Dance",FIGHTING,STATUS,n/a,—,10-16,"Raises the user's Attack, Defense, and Speed by 1 stage."
"Vine Whip",GRASS,PHYSICAL,45,100%,25-40,"No additional effect."
"Vise Grip",NORMAL,PHYSICAL,55,100%,30-48,"No additional effect."
"Vital Throw",FIGHTING,PHYSICAL,70,—,10-16,"Nearly always moves last (priority −1)."
"Volt Switch",ELECTRIC,SPECIAL,70,100%,20-32,"If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members, or if the target switched out using an Eject Button or through the effect of the Emergency Exit or Wimp Out Abilities."
"Volt Tackle",ELECTRIC,PHYSICAL,120,100%,15-24,"Has a 10% chance to paralyze the target. If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Wake-Up Slap",FIGHTING,PHYSICAL,70,100%,10-16,"Power doubles if the target is asleep. If the user has not fainted, the target wakes up."
"Waterfall",WATER,PHYSICAL,80,100%,15-24,"Has a 20% chance to make the target flinch."
"Water Gun",WATER,SPECIAL,40,100%,25-40,"No additional effect."
"Water Pledge",WATER,SPECIAL,80,100%,10-16,"If one of the user's allies chose to use Fire Pledge or Grass Pledge this turn and has not moved yet, it takes its turn immediately after the user and the user's move does nothing. If combined with Fire Pledge, the ally uses Water Pledge with 150 power and a rainbow appears on the user's side for 4 turns, which doubles secondary effect chances and stacks with the Serene Grace Ability, except effects that cause flinching can only have their chance doubled once. If combined with Grass Pledge, the ally uses Grass Pledge with 150 power and a swamp appears on the target's side for 4 turns, which quarters the Speed of each Pokemon on that side. When used as a combined move, this move gains STAB no matter what the user's type is. This move does not consume the user's Water Gem, and cannot be redirected by the Storm Drain Ability."
"Water Pulse",WATER,SPECIAL,60,100%,20-32,"Has a 20% chance to confuse the target."
"Water Shuriken",WATER,SPECIAL,15,100%,20-32,"Usually moves first (priority +1)."
"Water Sport",WATER,STATUS,n/a,—,15-24,"For 5 turns, all Fire-type attacks used by any active Pokemon have their power multiplied by 0.33. Fails if this effect is already active."
"Water Spout",WATER,SPECIAL,150,100%,5-8,"Power is equal to (user's current HP * 150 / user's maximum HP), rounded down, but not less than 1."
"Wave Crash",WATER,PHYSICAL,120,100%,10-16,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Weather Ball",NORMAL,SPECIAL,50,100%,10-16,"Power doubles if a weather condition other than Delta Stream is active, and this move's type changes to match. Ice type during Snow, Water type during Primordial Sea or Rain Dance, Rock type during Sandstorm, and Fire type during Desolate Land or Sunny Day. If the user is holding Utility Umbrella and uses Weather Ball during Primordial Sea, Rain Dance, Desolate Land, or Sunny Day, this move remains Normal type and does not double in power."
"Whirlpool",WATER,SPECIAL,35,85%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Whirlwind",NORMAL,STATUS,n/a,—,20-32,"Nearly always moves last (priority −6)."
"Wicked Blow",DARK,PHYSICAL,75,100%,5-8,"This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities."
"Wicked Torque",DARK,PHYSICAL,80,100%,10-16,"Has a 10% chance to cause the target to fall asleep."
"Wide Guard",ROCK,STATUS,n/a,—,10-16,"Nearly always moves first (priority +3)."
"Wildbolt Storm",ELECTRIC,SPECIAL,100,80%,10-16,"Has a 20% chance to paralyze the target. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 80%."
"Wild Charge",ELECTRIC,PHYSICAL,90,100%,15-24,"If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"Will-O-Wisp",FIRE,STATUS,n/a,85%,15-24,"Burns the target."
"Wing Attack",FLYING,PHYSICAL,60,100%,35-56,"No additional effect."
"Wish",NORMAL,STATUS,n/a,—,10-16,"At the end of the next turn, the Pokemon at the user's position has 1/2 of the user's maximum HP restored to it, rounded down. Fails if this move is already in effect for the user's position."
"Withdraw",WATER,STATUS,n/a,—,40-64,"Raises the user's Defense by 1 stage."
"Wonder Room",PSYCHIC,STATUS,n/a,—,10-16,"For 5 turns, all active Pokemon have their Defense and Special Defense stats swapped. Stat stage changes are unaffected. If this move is used during the effect, the effect ends."
"Wood Hammer",GRASS,PHYSICAL,120,100%,15-24,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Work Up",NORMAL,STATUS,n/a,—,30-48,"Raises the user's Attack and Special Attack by 1 stage."
"Worry Seed",GRASS,STATUS,n/a,100%,10-16,"Causes the target's Ability to become Insomnia. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Insomnia, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero."
"Wrap",NORMAL,PHYSICAL,15,90%,20-32,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Wring Out",NORMAL,SPECIAL,—,100%,5-8,"Power is equal to 120 * (target's current HP / target's maximum HP), rounded half down, but not less than 1."
"X-Scissor",BUG,PHYSICAL,80,100%,15-24,"No additional effect."
"Yawn",NORMAL,STATUS,n/a,—,10-16,"Causes the target to fall asleep at the end of the next turn. Fails when used if the target cannot fall asleep or if it already has a non-volatile status condition. At the end of the next turn, if the target is still active, does not have a non-volatile status condition, and can fall asleep, it falls asleep. If the target becomes affected, this effect cannot be prevented by Safeguard or a substitute, or by falling asleep and waking up during the effect."
"Zap Cannon",ELECTRIC,SPECIAL,120,50%,5-8,"Has a 100% chance to paralyze the target."
"Zen Headbutt",PSYCHIC,PHYSICAL,80,90%,15-24,"Has a 20% chance to make the target flinch."
"Zing Zap",ELECTRIC,PHYSICAL,80,100%,10-16,"Has a 30% chance to make the target flinch."
"Zippy Zap",ELECTRIC,PHYSICAL,80,100%,10-16,"Nearly always moves first (priority +2)."
